,PM2.5,PM10,NO2,O3,CO,SO2,BC,NO,NOX,Overall_AQI_Level,Overall_AQI_Category
2019-08-20 00:00:00+05:30,30.0,50.0,6.0,208.0,1000.0,5.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-21 00:00:00+05:30,18.0,25.7,6.1,197.0,500.15,2.8,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-22 00:00:00+05:30,0.0,1.4,4.8802,186.0,0.3,3.1666666666666665,0.1722556788728149,0.0070212183528934,0.012899,5,Very Unhealthy
2019-08-23 00:00:00+05:30,3.0,5.6,3.6604,175.0,160.24,3.533333333333333,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-24 00:00:00+05:30,6.0,9.8,2.4406000000000003,164.0,320.18,3.9,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-25 00:00:00+05:30,19.0,14.0,1.2208000000000006,153.0,480.12,4.266666666666667,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-26 00:00:00+05:30,32.0,13.0,0.001,142.0,640.06,4.633333333333333,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-27 00:00:00+05:30,45.0,65.0,23.0,131.0,800.0,5.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-28 00:00:00+05:30,45.16666666666666,60.25,23.377777777777776,0.019,761.9238095238095,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-29 00:00:00+05:30,45.333333333333336,55.5,23.75555555555556,0.0095,723.847619047619,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-30 00:00:00+05:30,45.5,50.75,24.133333333333333,0.0,685.7714285714286,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-31 00:00:00+05:30,45.66666666666666,46.0,24.511111111111116,0.002,647.6952380952381,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
